kode_wilayah;kabupaten_kota;ipm;tpt;kemiskinan;jumlah_nikah;jumlah_cerai
3501;Kabupaten Pacitan;70.19;1.83;13.65;3769;1105
3502;Kabupaten Ponorogo;72.5;4.66;9.53;6247;1864
3503;Kabupaten Trenggalek;71.73;4.52;10.63;5161;1605
3504;Kabupaten Tulungagung;74.61;5.65;6.53;7975;2583
3505;Kabupaten Blitar;72.49;4.91;8.69;8636;3454
3506;Kabupaten Kediri;73.96;5.79;10.72;11628;3509
3507;Kabupaten Malang;72.16;5.7;9.45;19936;7038
3508;Kabupaten Lumajang;67.87;3.67;8.93;8210;2557
3509;Kabupaten Jember;68.64;4.01;9.51;18004;5874
3510;Kabupaten Banyuwangi;72.61;4.75;7.34;13742;5231
3511;Kabupaten Bondowoso;67.99;4.15;13.34;5558;1852
3512;Kabupaten Situbondo;69.16;3.27;11.9;5106;1774
3513;Kabupaten Probolinggo;67.79;3.24;17.19;8716;2257
3514;Kabupaten Pasuruan;70.29;5.48;9.24;12405;2296
3515;Kabupaten Sidoarjo;81.55;8.05;5;13005;4350
3516;Kabupaten Mojokerto;75.53;4.67;9.8;8415;3077
3517;Kabupaten Jombang;74.6;4.66;9.15;9883;2838
3518;Kabupaten Nganjuk;73.71;4.68;10.89;8106;2162
3519;Kabupaten Madiun;72.97;5.14;11.04;4942;1507
3520;Kabupaten Magetan;75.41;4.16;9.8;4291;1119
3521;Kabupaten Ngawi;72.47;2.41;14.4;6091;1867
3522;Kabupaten Bojonegoro;70.85;4.63;12.18;9526;2819
3523;Kabupaten Tuban;70.34;4.4;14.91;8762;2509
3524;Kabupaten Lamongan;74.53;5.46;12.42;9439;2634
3525;Kabupaten Gresik;77.98;6.82;10.96;8843;2056
3526;Kabupaten Bangkalan;65.75;6.18;19.35;8155;1698
3527;Kabupaten Sampang;64.13;2.72;21.76;7665;1603
3528;Kabupaten Pamekasan;67.96;1.74;13.85;6116;1500
3529;Kabupaten Sumenep;68.61;1.71;18.7;7359;2233
3571;Kota Kediri;80.44;4.06;7.15;1791;585
3572;Kota Blitar;80.63;5.24;7.3;1025;...
3573;Kota Malang;83.39;6.8;4.26;4873;2317
3574;Kota Probolinggo;75.43;4.53;6.48;1638;514
3575;Kota Pasuruan;77.17;5.64;6.6;1453;2014
3576;Kota Mojokerto;80.07;4.73;5.77;791;...
3577;Kota Madiun;82.71;5.85;4.74;1027;356
3578;Kota Surabaya;83.45;6.76;4.65;15418;5456
3579;Kota Batu;78.18;4.52;3.31;1482;...